"ID","Dotknuté aktíva","Hodnota aktíva","Názov rizika","Opis rizika","Popis hrozby","Popis zraniteľnosti","Pravdepodobnosť (pred mitigáciou)","Následok (pred mitigáciou)","Úroveň závažnosti rizika (pred mitigáciou)","Navrhované opatrenia","Pravdepodobnosť (po mitigácii)","Následok (po mitigácii)","Úroveň závažnosti rizika (po mitigácii)"
"1","Server","200000","Nejasná fyzická bezpečnosť","Politika je v rozpore sama so sebou, keďže úvod tvrdí, že neexistuje fyzické sídlo, ale ďalšie kapitoly popisujú fyzické bezpečnostné opatrenia. To vedie k nejasnostiam a pravdepodobne k nedostatočnej ochrane serverov.","Neoprávnený vstup do priestorov","Nedostatočná fyzická ochrana budovy, dverí a okien","Vysoká","Katastrofický","Veľmi vysoké","Vyjasniť a zdokumentovať skutočné fyzické umiestnenie aktív a zaviesť auditovateľné bezpečnostné opatrenia v súlade s ISO 27001.","Veľmi nízka","Závažný","Nízke"
"2","Router","5000","Nedostatočná ochrana sieťovej infraštruktúry","Vzhľadom na nejasnosti ohľadom fyzického sídla je pravdepodobné, že sieťové zariadenia ako routre nie sú adekvátne chránené pred neoprávneným fyzickým prístupom.","Manipulácia s hardvérom","Nedostatočná fyzická ochrana budovy, dverí a okien","Vysoká","Závažný","Vysoké","Zabezpečiť sieťové zariadenia v uzamykateľných rackoch v kontrolovanom prostredí.","Nízka","Stredný","Stredné"
"3","Budovy","2000000","Riziko z neexistujúceho alebo nezabezpečeného sídla","Politika popiera existenciu sídla, čo znemožňuje ochranu pred fyzickými a environmentálnymi hrozbami.","Oheň","Lokalita v oblasti náchylnej na povodne","Vysoká","Katastrofický","Veľmi vysoké","Zriadiť oficiálne, bezpečné sídlo alebo využívať certifikované datacentrum pre kľúčovú infraštruktúru.","Veľmi nízka","Stredný","Nízke"
"4","Server","200000","Nechránené interné servery pred malvérom","Politika uvádza, že antivírusová ochrana sa vzťahuje len na servery spracúvajúce dáta od klientov, čo ponecháva interné systémy zraniteľné.","Odosielanie alebo distribúcia malvéru","Nedostatok politiky pre používanie mobilných zariadení","Vysoká","Závažný","Vysoké","Implementovať komplexnú antivírusovú ochranu na všetky servery a koncové body v sieti.","Veľmi nízka","Stredný","Nízke"
"5","Počítač používaný ako pracovná stanica","1500","Infekcia pracovných staníc malvérom","Ak interné servery nie sú chránené, môžu sa stať zdrojom malvéru pre pracovné stanice pripojené v sieti.","Odosielanie alebo distribúcia malvéru","Nesprávne používanie softvéru a hardvéru","Stredná","Závažný","Vysoké","Rozšíriť politiku ochrany pred malvérom na všetky aktíva v sieti a pravidelne školiť používateľov.","Nízka","Malý","Nízke"
"6","Špecifická podniková aplikácia","100000","Neobmedzený prístup k systémom","V politike sa uvádza, že používatelia nemajú obmedzenia na pripojenie k informačným systémom, čo je v rozpore s princípom najnižších privilégií.","Zneužitie práv alebo povolení","Nesprávne priradenie prístupových práv","Vysoká","Závažný","Vysoké","Zaviesť politiku riadenia prístupu založenú na rolách (RBAC) a princípe ""need-to-know"".","Nízka","Stredný","Stredné"
"7","Softvér na správu databáz","5000","Neoprávnený prístup k databázam","Neobmedzený prístup k sieti môže viesť k neautorizovanému prístupu k databázovým systémom zo strany zamestnancov, ktorí na to nemajú oprávnenie.","Neoprávnené spracúvanie osobných údajov","Nedostatok identifikačných a autentifikačných mechanizmov (napr. autentifikácia používateľov)","Vysoká","Katastrofický","Veľmi vysoké","Implementovať granulárne riadenie prístupu na úrovni databáz a sieťovú segmentáciu.","Nízka","Stredný","Stredné"
"8","Používatelia","50000","Únik citlivých informácií kvôli slabej politike čistého stola","Politika čistého stola je definovaná veľmi povrchne, zameriava sa len na uzamykanie PC a nerieši fyzické dokumenty.","Krádež médií alebo dokumentov","Nedostatok politiky „čistý stôl a čistá obrazovka“","Stredná","Stredný","Stredné","Vytvoriť a presadzovať detailnú politiku čistého stola a obrazovky vrátane pravidelných kontrol.","Nízka","Malý","Nízke"
"9","Kancelárie","100000","Krádež dokumentov z pracoviska","Nedostatočná politika čistého stola zvyšuje riziko, že citlivé dokumenty ostanú na stoloch a môžu byť odcudzené.","Krádež médií alebo dokumentov","Nezabezpečená práca externých alebo upratovacích pracovníkov","Stredná","Stredný","Stredné","Zaviesť uzamykateľné skrinky pre všetkých zamestnancov a vyžadovať ukladanie dokumentov po pracovnej dobe.","Nízka","Malý","Nízke"
"10","Vedenie organizácie","1500000","Nereagovanie na nové hrozby","V politike chýba proces pre aktívny zber a analýzu informácií o nových hrozbách (threat intelligence).","Sociálne inžinierstvo","Nedostatok povedomia o bezpečnosti","Stredná","Závažný","Vysoké","Zaviesť proces pre zber, analýzu a distribúciu informácií o hrozbách z relevantných zdrojov (napr. CSIRT, fóra).","Nízka","Stredný","Stredné"
